Run,Graph,Duration
1,flow_network_30,1.731213
2,flow_network_31,1.744277
3,flow_network_32,1.604797
4,flow_network_33,1.694109
5,flow_network_34,1.649797
6,flow_network_35,1.873665
7,flow_network_36,1.856106
8,flow_network_37,1.824428
9,flow_network_38,1.882160
10,flow_network_39,1.851993
11,flow_network_40,1.465286
12,flow_network_41,1.489210
13,flow_network_42,1.459509
14,flow_network_43,1.488658
15,flow_network_44,1.458933
16,flow_network_45,3.369588
17,flow_network_46,3.558058
18,flow_network_47,3.474763
19,flow_network_48,3.406864
20,flow_network_49,3.388809
