Run,Graph,Duration
1,flow_network_30,4.265918
2,flow_network_31,4.274513
3,flow_network_32,4.039744
4,flow_network_33,4.590129
5,flow_network_34,4.506393
6,flow_network_35,10.813609
7,flow_network_36,10.208709
8,flow_network_37,10.204019
9,flow_network_38,10.704629
10,flow_network_39,11.123864
11,flow_network_40,9.326909
12,flow_network_41,10.223050
13,flow_network_42,10.734152
14,flow_network_43,11.194164
15,flow_network_44,9.646767
16,flow_network_45,24.668492
17,flow_network_46,24.655203
18,flow_network_47,24.860580
19,flow_network_48,25.201668
20,flow_network_49,25.240867
