Run,Graph,Duration
1,flow_network_10,19.4293
2,flow_network_11,123.348
3,flow_network_12,132.321
4,flow_network_13,127.193
5,flow_network_14,126.725
6,flow_network_15,136.897
7,flow_network_16,196.904
8,flow_network_17,211.252
9,flow_network_18,214.543
10,flow_network_19,208.621
11,flow_network_1,21.6943
12,flow_network_20,210.917
13,flow_network_2,24.2672
14,flow_network_3,22.3495
15,flow_network_4,20.5585
16,flow_network_5,23.0714
17,flow_network_6,19.1956
18,flow_network_7,17.1136
19,flow_network_8,22.8253
20,flow_network_9,17.4018
