Run,Graph,Duration
1,printed_graph100,0.034682
2,printed_graph10,0.032990
3,printed_graph11,0.038713
4,printed_graph12,0.040862
5,printed_graph13,0.022739
6,printed_graph14,0.015387
7,printed_graph15,0.020658
8,printed_graph16,0.022851
9,printed_graph17,0.041159
10,printed_graph18,0.033374
11,printed_graph19,0.046925
12,printed_graph1,0.039705
13,printed_graph20,0.040863
14,printed_graph21,0.048938
15,printed_graph22,0.027351
16,printed_graph23,0.043633
17,printed_graph24,0.041532
18,printed_graph25,0.022332
19,printed_graph26,0.017702
20,printed_graph27,0.038866
21,printed_graph28,0.016148
22,printed_graph29,0.040085
23,printed_graph2,0.037128
24,printed_graph30,0.052027
25,printed_graph31,0.016579
26,printed_graph32,0.019911
27,printed_graph33,0.031527
28,printed_graph34,0.036967
29,printed_graph35,0.028247
30,printed_graph36,0.033577
31,printed_graph37,0.033426
32,printed_graph38,0.037230
33,printed_graph39,0.030891
34,printed_graph3,0.023670
35,printed_graph40,0.030084
36,printed_graph41,0.034210
37,printed_graph42,0.030758
38,printed_graph43,0.031367
39,printed_graph44,0.016860
40,printed_graph45,0.037138
41,printed_graph46,0.041696
42,printed_graph47,0.049946
43,printed_graph48,0.030879
44,printed_graph49,0.034348
45,printed_graph4,0.033964
46,printed_graph50,0.034312
47,printed_graph51,0.026399
48,printed_graph52,0.042496
49,printed_graph53,0.036707
50,printed_graph54,0.036607
51,printed_graph55,0.043686
52,printed_graph56,0.038912
53,printed_graph57,0.029470
54,printed_graph59,0.032979
55,printed_graph5,0.040819
56,printed_graph60,0.037293
57,printed_graph61,0.030970
58,printed_graph62,0.037034
59,printed_graph63,0.046026
60,printed_graph64,0.032637
61,printed_graph65,0.041622
62,printed_graph66,0.041899
63,printed_graph67,0.041204
64,printed_graph68,0.026862
65,printed_graph69,0.036057
66,printed_graph6,0.038931
67,printed_graph70,0.035085
68,printed_graph71,0.027674
69,printed_graph72,0.037795
70,printed_graph73,0.053349
71,printed_graph74,0.042600
72,printed_graph75,0.033508
73,printed_graph76,0.030247
74,printed_graph77,0.040254
75,printed_graph78,0.029893
76,printed_graph79,0.033083
77,printed_graph7,0.039786
78,printed_graph8,0.011784
