Run,Graph,Duration
1,printed_graph100,0.000145
2,printed_graph10,0.000157
3,printed_graph11,0.000166
4,printed_graph12,0.000164
5,printed_graph13,0.000112
6,printed_graph14,0.000101
7,printed_graph15,0.000108
8,printed_graph16,0.000110
9,printed_graph17,0.000199
10,printed_graph18,0.000160
11,printed_graph19,0.000233
12,printed_graph1,0.000171
13,printed_graph20,0.000162
14,printed_graph21,0.000231
15,printed_graph22,0.000125
16,printed_graph23,0.000221
17,printed_graph24,0.000187
18,printed_graph25,0.000108
19,printed_graph26,0.000105
20,printed_graph27,0.000166
21,printed_graph28,0.000098
22,printed_graph29,0.000236
23,printed_graph2,0.000167
24,printed_graph30,0.000226
25,printed_graph31,0.000113
26,printed_graph32,0.000104
27,printed_graph33,0.000150
28,printed_graph34,0.000190
29,printed_graph35,0.000123
30,printed_graph36,0.000147
31,printed_graph37,0.000157
32,printed_graph38,0.000188
33,printed_graph39,0.000151
34,printed_graph3,0.000121
35,printed_graph40,0.000137
36,printed_graph41,0.000155
37,printed_graph42,0.000141
38,printed_graph43,0.000140
39,printed_graph44,0.000100
40,printed_graph45,0.000171
41,printed_graph46,0.000181
42,printed_graph47,0.000238
43,printed_graph48,0.000128
44,printed_graph49,0.000138
45,printed_graph4,0.000147
46,printed_graph50,0.000147
47,printed_graph51,0.000122
48,printed_graph52,0.000175
49,printed_graph53,0.000176
50,printed_graph54,0.000161
51,printed_graph55,0.000186
52,printed_graph56,0.000171
53,printed_graph57,0.000138
54,printed_graph59,0.000141
55,printed_graph5,0.000213
56,printed_graph60,0.000159
57,printed_graph61,0.000135
58,printed_graph62,0.000165
59,printed_graph63,0.000223
60,printed_graph64,0.000148
61,printed_graph65,0.000176
62,printed_graph66,0.000209
63,printed_graph67,0.000196
64,printed_graph68,0.000121
65,printed_graph69,0.000180
66,printed_graph6,0.000189
67,printed_graph70,0.000149
68,printed_graph71,0.000123
69,printed_graph72,0.000192
70,printed_graph73,0.000248
71,printed_graph74,0.000180
72,printed_graph75,0.000149
73,printed_graph76,0.000139
74,printed_graph77,0.000157
75,printed_graph78,0.000142
76,printed_graph79,0.000128
77,printed_graph7,0.000174
78,printed_graph8,0.000157
