Run,Graph,Duration
1,printed_graph100,0.000082
2,printed_graph10,0.000090
3,printed_graph11,0.000100
4,printed_graph12,0.000093
5,printed_graph13,0.000067
6,printed_graph14,0.000056
7,printed_graph15,0.000054
8,printed_graph16,0.000067
9,printed_graph17,0.000099
10,printed_graph18,0.000088
11,printed_graph19,0.000116
12,printed_graph1,0.000108
13,printed_graph20,0.000080
14,printed_graph21,0.000128
15,printed_graph22,0.000078
16,printed_graph23,0.000118
17,printed_graph24,0.000100
18,printed_graph25,0.000059
19,printed_graph26,0.000053
20,printed_graph27,0.000083
21,printed_graph28,0.000049
22,printed_graph29,0.000101
23,printed_graph2,0.000084
24,printed_graph30,0.000118
25,printed_graph31,0.000046
26,printed_graph32,0.000063
27,printed_graph33,0.000076
28,printed_graph34,0.000098
29,printed_graph35,0.000063
30,printed_graph36,0.000077
31,printed_graph37,0.000080
32,printed_graph38,0.000097
33,printed_graph39,0.000086
34,printed_graph3,0.000058
35,printed_graph40,0.000085
36,printed_graph41,0.000085
37,printed_graph42,0.000068
38,printed_graph43,0.000073
39,printed_graph44,0.000049
40,printed_graph45,0.000099
41,printed_graph46,0.000142
42,printed_graph47,0.000123
43,printed_graph48,0.000073
44,printed_graph49,0.000079
45,printed_graph4,0.000075
46,printed_graph50,0.000073
47,printed_graph51,0.000073
48,printed_graph52,0.000105
49,printed_graph53,0.000103
50,printed_graph54,0.000089
51,printed_graph55,0.000105
52,printed_graph56,0.000093
53,printed_graph57,0.000072
54,printed_graph59,0.000071
55,printed_graph5,0.000107
56,printed_graph60,0.000080
57,printed_graph61,0.000074
58,printed_graph62,0.000099
59,printed_graph63,0.000120
60,printed_graph64,0.000079
61,printed_graph65,0.000089
62,printed_graph66,0.000142
63,printed_graph67,0.000107
64,printed_graph68,0.000069
65,printed_graph69,0.000095
66,printed_graph6,0.000101
67,printed_graph70,0.000091
68,printed_graph71,0.000076
69,printed_graph72,0.000099
70,printed_graph73,0.000124
71,printed_graph74,0.000106
72,printed_graph75,0.000081
73,printed_graph76,0.000075
74,printed_graph77,0.000078
75,printed_graph78,0.000068
76,printed_graph79,0.000066
77,printed_graph7,0.000091
78,printed_graph8,0.000085
