Run,Graph,Duration
1,adhead.n6c100,1492.49
2,adhead.n6c10,738.439
3,bone.n6c100,541.445
4,bone.n6c10,256.181
5,cells.sd2,319.131
6,cells.sd3,1823.29
7,foam.subset.r120.h210,254.603
8,foam.subset.r60.h210,47.3602
