Run,Graph,Duration
1,flow_network_30,5.603480
2,flow_network_31,5.543249
3,flow_network_32,5.206466
4,flow_network_33,5.572057
5,flow_network_34,5.389757
6,flow_network_35,12.362183
7,flow_network_36,11.495147
8,flow_network_37,12.580355
9,flow_network_38,13.002133
10,flow_network_39,13.812188
11,flow_network_40,31.644883
12,flow_network_41,33.083304
13,flow_network_42,32.086605
14,flow_network_43,32.741593
15,flow_network_44,31.818790
16,flow_network_45,80.112765
17,flow_network_46,80.664301
18,flow_network_47,81.200528
19,flow_network_48,78.711317
20,flow_network_49,80.959773
